1089	pos	It is definitely more precise and feels better to use than the low cost brands
1090	neg	anyways, no logi products for me anymore
1090	neg	I like my old G5, but I guess logi does not make solid products anymore
1091	pos	mouse feels awesome in the hand, it was obviously used when it was shipped to me
1091	neg	There were no weights in the plastic bag it came in, and the gliders already had crud in them
1091	pos	The mouse though is fantastic, works well with the rest of my Logitech equipment
1092	pos	Good mouse with programable buttons
1093	pos	I play alot of games and require quick accurate equipment this works wonderfully
1093	pos	The mouse 🐁 has been very good at sensing small movements
1094	pos	Got this for my son for gaming, and he uses it all the time
1094	pos	Great product and value
1095	pos	I got this mouse for gaming and it has worked great
1095	pos	the software great if you learn how to use itbuttons 4
1095	pos	5 stars
1096	neg	They are totally useless
1096	neg	Even the software doesn't have an option to remap these 3 useless buttons
1096	neg	Total disappointment
1096	neg	It's sitting in my cupboard now along with other useless products
1097	pos	I have had it for a few months and it is holding up so far
1097	pos	It is pretty responsive
1098	neg	Like others have said before: whilst the mouse may be comfortable and works for a couple of months, I noticed while playing online matches that holding down the left click would no longer work
1098	neg	Any game that relied on me needing to hold it down only ended in frustration and apparently this is a known issue with an internal component
1098	neg	You can click regularly but anything longer than a second is pointless
1099	pos	Plugged it in & it just worked
1099	pos	The logitech software makes it super easy to customize the buttons, and the extra weights are perfect
1099	pos	Also the dual mode scroll wheel wasn't something I knew I needed, but now I love it
1100	neg	Ordered a new logitech mouse, received a used one
1101	pos	All I can say is that I love it
1101	pos	Logitech G-hub allows for nearly full customization of all mouse features
1101	pos	Colors can be customized as well
1102	neg	The second mouse I received worked for a day, then the scroll wheel had the same issue
1102	neg	The exchange service was extremely fast but unfortunately the product just isn't going to work
1102	neg	Gonna have to find another mouse
1104	pos	Love the scroll button lock and unlock feature
1104	pos	definitely  helpful
1104	pos	Best mouse I've had in a long time
1105	pos	The mouse is a big upgrade for me and whether i'm destroying small children in Warzone or grown men in Tarkov i can trust that my mouse will allow me to dispatch my foes at the optimal rate
1106	pos	I'm a big dude, and my hands fit comfortably around this mouse
1107	pos	High accuracy and love the customs option for all the buttons
1108	neg	This is very frustrating
1108	neg	I would expect better from a mouse at this price
1108	neg	I'm not going to purchase any logitech products in the future, nor would I recommend them to anyone else
1109	neg	But after a year of heavy use, the left click has stopped working
1109	neg	Their quality has declined
1109	neg	Do NOT get this mouse if you want something that lasts
1110	neg	this is honestly sad because this mouse is near perfect the only other problem I've is the weird button layout  I'm always accidentally pressing buttons when I don't intend to
1110	neg	But to its credit I did have this mouse for a year and a half before it broke still disappointing for a 60$ mouse though
1111	pos	The mouse has a great feel, better than the wireless IMO (which I broke) This mouse is also  more durable to abuse
1112	neg	The double click issue is insane and I've been trying to fix it for a year
1113	pos	A few months out and enjoying this mouse being able to adjust the weight is a plus
1113	pos	I like the feel of the mouse it was a great upgrade from my G302
1114	pos	The fit and feel on the hand is top notch
1114	pos	You can program all buttons to whatever you want
1114	pos	The sniper button is cool on first person shooters in certain games
1114	pos	The tracking sensor is the best I have ever felt with it’s accuracy
1114	pos	I use it on PS4 and it’s awesome
1115	pos	Love this mouse for gaming
1115	pos	I love it so far
1116	pos	Easily the best value gaming mouse on the market
1116	pos	The cord is a nice lightweight material
1117	neg	Really 100% scam and they know it mouse breaks after a few months starts to double and miss click and feet wear out no matter what after a year they don’t make replacements they need to be sued like Microsoft for stick drift they know of the clicking issue I have owned 6 mice now last one I’m buying
1118	pos	I love this mouse it's the only one I use
1118	pos	They are durable and the colors are nice
1119	neg	So disappointed
1120	neg	Left click will release at random and will double click at random only after six months of use was not worth the money
1121	pos	Definitely a comfortable mouse
1121	pos	I am a YouTuber and have been using it for a couple days now, and it has been great so far
1121	pos	Will update if there are any issues but other than that, this mouse is smooth and won’t slide at all on your desk, which my last one did, the weighting stuff comes In a nice packed case so you can change them whenever, and I love the minimal but noticeable RGB, can’t wait until my Blackwidow keyboard comes so I can match it with this mouse
1121	pos	It really is top of the line
1122	pos	Great mouse, good weight that you can adjust with the included additional weights
1122	pos	I have one weight in it and it feels great
1123	pos	They fit perfectly in larger hands, are very quick to respond and customize
1123	pos	I also like that they have weight - most other mice are too light and therefore harder to control
1123	pos	Highly recommended
1124	pos	This logitech is comfortable,  feels great and the software is easy to use and I haven't had any problems
1125	neg	Loved this mouse until the left clicking completely failed, ~9 months into ownership
1125	neg	Don't buy this mouse, don't buy it on this website
1126	pos	Accurate and has a nice weight to it
1126	pos	I myself like heavier mice, so the option to add weights to it is a big yes
1127	neg	Be aware that if you buy this mouse, it has a very high chance of developing a known double clicking issue
1128	neg	It doesn't give you a clear indication of your clicks which I feels is absolutely necessary in a good mouse
1129	pos	Absolutely fantastic mouse for 7 months
1129	neg	Double click problem started a few weeks ago
1130	pos	Versatile, looks really cool and lots of buttons
1130	neg	Unfortunately it forced my hand into an awkward position mainly because of the button where the thumb should rest
1130	neg	Too uncomfortable
1131	pos	There are no cons in all the product i've used on logitech product which is really good
1131	pos	Its really good with extra 3 buttons on the left
1132	pos	Great in all the ways advertised
1133	neg	The mouse wheel is one of the biggest issues i had with this mouse
1133	neg	It got extremely flimsy as time went on and when doing flick shots i can feel the mouse wheel smack the sides when moving the mouse in rapid successions
1134	pos	This was the best mouse 4 friends and I could've asked for
1134	neg	not worth it unless u set them up at tournaments or something where they have no use to the wheel
1135	pos	Solid mouse, I was worried about it being 'heavy' but its perfect for me tbh
1135	pos	I love the dpi lock button aka the sniper button, really clutch in games
1135	pos	Feels pretty ergonomic and I haven't had a problem with it so far
1136	pos	Good quality mouse however the price is lower in stores
1137	neg	I've always loved Logitech products but this mouse has problems that make it unusable
1137	neg	Accurate drag and drop is near impossible
1138	pos	I can't say anything bad about this mouse
1138	pos	I got it for my 11yo son's birthday, and he loves it
1138	pos	I programmed some of the buttons for him, and am perfectly ecstatic by his love of this mouse
1138	pos	Definitely recommend
1139	pos	I really like the tilt wheel, good for strafing etc
1139	pos	So many more buttons available and looks awesome
1140	pos	I love this mouse
1140	pos	Super sensitive and the programmable buttons are awesome as well as the extra weights it comes with
1142	pos	it actually looks very clean, especially in a low light settings, and the dpi adjustment on the mouse itself is very useful for gaming and web browsing
1142	pos	the rgb screen sampler is also a super cool feature that i wish my keyboard had as well
1142	pos	in conclusion, i am very satisfied with this purchase, and I’ll update this review depending on the state of the mouse
1143	pos	This is amazing, I've never had a more comfortable mouse to hold and utilize for 8+ hours on end
1145	neg	Only complaint is the wheel is way too sensitive
1147	pos	The buttons all seem to be in the perfect spot
1147	pos	Even if you don’t need or want the extra buttons this build and hero sensor is just perfect
1147	pos	10/10 recommend
1148	neg	Would sometimes behave strangely and could not control the mouse
1149	neg	Not even 2 months into having the mouse I started to have issues with the right click button
1151	pos	Good mouse, very useful programmable buttons
1151	pos	The insert able weights are a nice feature
1152	pos	Best gaming mouse everThis is the third G502 I owned
1152	pos	G502 is stable and fast respondsRecommend to all gamers
1154	neg	It's a great mouse but it suffers from a double click issue
1154	neg	This is my 2nd G502 Hero mouse, both this one and my first suffered from issues within 6 months of purchase
1155	pos	The mouse was fantastic for me during the first 3 months, with great features and a solid weight
1155	neg	However, I began to encounter drift issues and the mouse randomly not working unless I unplug and replug the USB
1156	pos	That aside, though, it's a great mouse that's great for gaming
